<2016-05-12 05:39:13.619619>	Debug:	bool __thiscall Logger::open(const class QString &):		(93)		~open log
<2016-05-12 05:39:13.768768>	Debug:	__thiscall ServerTest::ServerTest(class QObject *):		(34)		~cant open file
<2016-05-12 05:39:13.850850>	Debug:	bool __thiscall SMSObjectManager::initSmsObjectManager(void):		(44)		~succes smsObjectManager
<2016-05-12 05:39:17.402402>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:17.402402>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:17.402402>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:17.866866>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:17.867867>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:17.867867>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:18.867867>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:18.868868>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:18.869869>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:19.868868>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:19.869869>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:19.870870>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:20.855855>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:20.855855>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:20.856856>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:21.857857>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:21.858858>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:21.859859>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:22.859859>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:22.859859>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
